"NOME_INSTRUMENTO","ANO_INSTRUMENTO","DATA_INICIO","DATA_FIM","CODIGO_CURSO","NOME_CURSO","CODIGO_GRUPO","NOME_GRUPO","CODIGO_SUBGRUPO","NOME_SUBGRUPO","CÓDIGO_DISCIPLINA","DISCIPLINA","TURMA","SERIE","ORDEM_PERGUNTA","CODIGO_PERGUNTA","PERGUNTA","ORDEM_OPCOES","OPCAO","PORCENTAGEM","RESPOSTAS","TOTAL_DO_CURSO"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","1","1831","1.1- Sua frequência nas disciplinas presenciais","8136","Bom","85.7","6","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","1","1831","1.1- Sua frequência nas disciplinas presenciais","8137","Regular","14.3","1","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","1","1831","1.1- Sua frequência nas disciplinas presenciais","8138","Ruim","0.0","0","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","1","1831","1.1- Sua frequência nas disciplinas presenciais","8139","Péssimo","0.0","0","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","2","1832","1.2- Sua frequência nas disciplinas remotas","8140","Bom","100.0","7","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","2","1832","1.2- Sua frequência nas disciplinas remotas","8141","Regular","0.0","0","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","2","1832","1.2- Sua frequência nas disciplinas remotas","8142","Ruim","0.0","0","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","2","1832","1.2- Sua frequência nas disciplinas remotas","8143","Péssimo","0.0","0","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","3","1833","1.3- Seu empenho e participação nas disciplinas","8144","Bom","85.7","6","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","3","1833","1.3- Seu empenho e participação nas disciplinas","8145","Regular","14.3","1","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","3","1833","1.3- Seu empenho e participação nas disciplinas","8146","Ruim","0.0","0","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","3","1833","1.3- Seu empenho e participação nas disciplinas","8147","Péssimo","0.0","0","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","4","1834","1.4- Sua aprendizagem nas disciplinas","8148","Bom","85.7","6","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","4","1834","1.4- Sua aprendizagem nas disciplinas","8149","Regular","14.3","1","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","4","1834","1.4- Sua aprendizagem nas disciplinas","8150","Ruim","0.0","0","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","4","1834","1.4- Sua aprendizagem nas disciplinas","8151","Péssimo","0.0","0","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","5","1835","1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.","8152","Bom","42.9","3","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","5","1835","1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.","8153","Regular","57.1","4","7"
"Avaliação pelo Discente de Graduação 2021 - Ensino a Distância","2021","04/05/2023","09/06/2023","56","PEDAGOGIA - EAD               ","68","Avaliação discente geral","237","1. Avaliação discente sobre a autoavaliação","0","-","-","2","5","1835","1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.","8154","Ruim","0.0","0","7"
