"NOME_INSTRUMENTO","ANO_INSTRUMENTO","DATA_INICIO","DATA_FIM","CODIGO_CURSO","NOME_CURSO","CODIGO_GRUPO","NOME_GRUPO","CODIGO_SUBGRUPO","NOME_SUBGRUPO","ORDEM_PERGUNTA","CODIGO_PERGUNTA","PERGUNTA","ORDEM_OPCOES","OPCAO","PORCENTAGEM","RESPOSTAS","TOTAL_DO_CURSO"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","1","1377","1.1- Você atua como funcionário/profissional:","6339","empresa privada","83.3","25","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","1","1377","1.1- Você atua como funcionário/profissional:","6340","profissional liberal","3.3","1","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","1","1377","1.1- Você atua como funcionário/profissional:","6341","empresário","3.3","1","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","1","1377","1.1- Você atua como funcionário/profissional:","6342","outro","6.7","2","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","1","1377","1.1- Você atua como funcionário/profissional:","6355","público","3.3","1","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","3","1380","1.3- Sua atuação no mercado de trabalho é na área:","6347","não relacionada","23.3","7","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","3","1380","1.3- Sua atuação no mercado de trabalho é na área:","6356","da graduação","46.7","14","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","3","1380","1.3- Sua atuação no mercado de trabalho é na área:","6357","da pós-graduação","13.3","4","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","3","1380","1.3- Sua atuação no mercado de trabalho é na área:","6358","afim à graduação","16.7","5","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","3","1380","1.3- Sua atuação no mercado de trabalho é na área:","6390","afim à pós-graduação","0.0","0","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","4","1476","1.4- Sua atuação no mercado de trabalho iniciou-se:","6359","antes da graduação","33.3","10","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","4","1476","1.4- Sua atuação no mercado de trabalho iniciou-se:","6360","durante a graduação","36.7","11","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","4","1476","1.4- Sua atuação no mercado de trabalho iniciou-se:","6361","depois da graduação","20.0","6","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","178","I- Atuação Profissional","4","1476","1.4- Sua atuação no mercado de trabalho iniciou-se:","6391","depois da pós-gradua","10.0","3","30"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","1","1383","2.1- Para você, ter realizado um curso de graduação na UEM, para o seu ingresso no mercado de trabalho, foi: ","6352","indiferente","22.2","6","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","1","1383","2.1- Para você, ter realizado um curso de graduação na UEM, para o seu ingresso no mercado de trabalho, foi: ","6362","fundamental ","51.9","14","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","1","1383","2.1- Para você, ter realizado um curso de graduação na UEM, para o seu ingresso no mercado de trabalho, foi: ","6363","diferencial","25.9","7","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","2","1384","2.2- Para você, ter realizado um curso de graduação na UEM, contribuiu para ingressar no mercado de trabalho em qual área de atuação profissional?","6350","em área correlata","40.7","11","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","2","1384","2.2- Para você, ter realizado um curso de graduação na UEM, contribuiu para ingressar no mercado de trabalho em qual área de atuação profissional?","6351","em outra área","18.5","5","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","2","1384","2.2- Para você, ter realizado um curso de graduação na UEM, contribuiu para ingressar no mercado de trabalho em qual área de atuação profissional?","6364","na área da formação","40.7","11","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","3","1385","2.3- Como você avalia o domínio dos conteúdos básicos pelos professores do seu curso de graduação na UEM?","6365","Excelente","37.0","10","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","3","1385","2.3- Como você avalia o domínio dos conteúdos básicos pelos professores do seu curso de graduação na UEM?","6366","Ótimo","25.9","7","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","3","1385","2.3- Como você avalia o domínio dos conteúdos básicos pelos professores do seu curso de graduação na UEM?","6367","Bom","33.3","9","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","3","1385","2.3- Como você avalia o domínio dos conteúdos básicos pelos professores do seu curso de graduação na UEM?","6368","Regular","0.0","0","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","3","1385","2.3- Como você avalia o domínio dos conteúdos básicos pelos professores do seu curso de graduação na UEM?","6369","Ruim","3.7","1","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","3","1385","2.3- Como você avalia o domínio dos conteúdos básicos pelos professores do seu curso de graduação na UEM?","6370","Péssimo","0.0","0","27"
