"NOME_INSTRUMENTO","ANO_INSTRUMENTO","DATA_INICIO","DATA_FIM","CODIGO_CURSO","NOME_CURSO","TIPO_NIVEL","CODIGO_GRUPO","NOME_GRUPO","CODIGO_SUBGRUUPO","NOME_SUBGRUPO","CÓDIGO_DISCIPLINA","DISCIPLINA","ORDEM_PERGUNTA","CODIGO_PERGUNTA","PERGUNTA","ORDEM_OPCOES","OPCAO","PORCENTAGEM","RESPOSTAS","TOTAL_DO_CURSO"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","1","573","1.1- Para a realização presencial do seu curso de pós-graduação, você reside na cidade","2752","sede do seu curso.","66.7","8","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","1","573","1.1- Para a realização presencial do seu curso de pós-graduação, você reside na cidade","2753","fora da sede.","33.3","4","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","2","574","1.2- Neste período de isolamento social, você está residindo","2754","com sua família.","91.7","11","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","2","574","1.2- Neste período de isolamento social, você está residindo","2755","em república.","0.0","0","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","2","574","1.2- Neste período de isolamento social, você está residindo","2756","em pensão.","0.0","0","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","2","574","1.2- Neste período de isolamento social, você está residindo","2757","sozinho.","8.3","1","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","2","574","1.2- Neste período de isolamento social, você está residindo","2758","em outro lugar.","0.0","0","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","3","575","1.3- Durante a realização do seu curso de pós-graduação, sua fonte de renda provém de","2759","bolsas.","33.3","4","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","3","575","1.3- Durante a realização do seu curso de pós-graduação, sua fonte de renda provém de","2760","emprego fixo.","50.0","6","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","3","575","1.3- Durante a realização do seu curso de pós-graduação, sua fonte de renda provém de","2761","trabalho informal.","8.3","1","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","3","575","1.3- Durante a realização do seu curso de pós-graduação, sua fonte de renda provém de","2762","prestação de serviço","0.0","0","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","3","575","1.3- Durante a realização do seu curso de pós-graduação, sua fonte de renda provém de","2763","familiares.","8.3","1","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","4","576","1.4- Neste período de isolamento social, você teve a sua renda reduzida em decorrência da pandemia?","2764","Sim.","50.0","6","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","4","576","1.4- Neste período de isolamento social, você teve a sua renda reduzida em decorrência da pandemia?","2765","Não.","50.0","6","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","5","577","1.5- Neste período de isolamento social, você está precisando acompanhar/auxiliar familiares na realização de atividades escolares?","2766","Sim.","33.3","4","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","5","577","1.5- Neste período de isolamento social, você está precisando acompanhar/auxiliar familiares na realização de atividades escolares?","2767","Não.","66.7","8","12"
"Consulta Discente Pós-Graduação Pandemia","2020","03/07/2020","12/07/2020","5022","Administração","Doutorado","30","Perguntas","84","I. Informações Socioeconômicas","0","0","6","578","1.6- Neste período de isolamento social, você está precisando acompanhar/cuidar de familiares?","2768","Sim.","58.3","7","12"
