"NOME_INSTRUMENTO","ANO_INSTRUMENTO","DATA_INICIO","DATA_FIM","CODIGO_CURSO","NOME_CURSO","TIPO_NIVEL","CODIGO_GRUPO","NOME_GRUPO","CODIGO_SUBGRUUPO","NOME_SUBGRUPO","CÓDIGO_DISCIPLINA","DISCIPLINA","ORDEM_PERGUNTA","CODIGO_PERGUNTA","PERGUNTA","ORDEM_OPCOES","OPCAO","PORCENTAGEM","RESPOSTAS","TOTAL_DO_CURSO"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","1","1743","1.1- Para a retornar  à  realização presencial do seu curso, você residirá na cidade:","7710","sede do seu curso.","55.6","5","9"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","1","1743","1.1- Para a retornar  à  realização presencial do seu curso, você residirá na cidade:","7711","fora da sede.","44.4","4","9"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","2","1744","1.2- Onde irá residir para a realização presencial do seu curso?","7712","com sua família.","33.3","3","9"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","2","1744","1.2- Onde irá residir para a realização presencial do seu curso?","7713","em república.","11.1","1","9"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","2","1744","1.2- Onde irá residir para a realização presencial do seu curso?","7714","em pensão.","0.0","0","9"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","2","1744","1.2- Onde irá residir para a realização presencial do seu curso?","7715","sozinho.","33.3","3","9"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","2","1744","1.2- Onde irá residir para a realização presencial do seu curso?","7716","em outro lugar.","22.2","2","9"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","3","1745","1.3- Você conseguirá retornar para as aulas presenciais?","7717","Sim.","88.9","8","9"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","3","1745","1.3- Você conseguirá retornar para as aulas presenciais?","7718","Não.","11.1","1","9"
"DCT Consulta ao Discente Pós-Graduação","2021","06/12/2021","20/02/2022","5022","Administração","Doutorado","54","Perguntas:","220","I. Informações Socioeconômicas","0","0","5","1747","1.5- Durante a realização do seu curso de graduação, sua fonte de renda provém de:","7719","bolsas","0.0","0","9"
