"NOME_INSTRUMENTO","ANO_INSTRUMENTO","DATA_INICIO","DATA_FIM","CODIGO_CURSO","NOME_CURSO","TIPO_NIVEL","CODIGO_GRUPO","NOME_GRUPO","CODIGO_SUBGRUUPO","NOME_SUBGRUPO","CÓDIGO_DISCIPLINA","DISCIPLINA","ORDEM_PERGUNTA","CODIGO_PERGUNTA","PERGUNTA","ORDEM_OPCOES","OPCAO","PORCENTAGEM","RESPOSTAS","TOTAL_DO_CURSO"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","1","1482","1.1- Como foi sua frequência e sua pontualidade nas disciplinas?","6773","Bom","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","1","1482","1.1- Como foi sua frequência e sua pontualidade nas disciplinas?","6774","Regular","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","1","1482","1.1- Como foi sua frequência e sua pontualidade nas disciplinas?","6775","Ruim","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","1","1482","1.1- Como foi sua frequência e sua pontualidade nas disciplinas?","6776","Péssimo","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","1","1482","1.1- Como foi sua frequência e sua pontualidade nas disciplinas?","7052","Ótimo","100.0","1","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","2","1483","1.2- Como foi seu empenho e sua participação nas disciplinas?","6777","Ótimo","100.0","1","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","2","1483","1.2- Como foi seu empenho e sua participação nas disciplinas?","6778","Bom","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","2","1483","1.2- Como foi seu empenho e sua participação nas disciplinas?","6779","Regular","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","2","1483","1.2- Como foi seu empenho e sua participação nas disciplinas?","6780","Ruim","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","2","1483","1.2- Como foi seu empenho e sua participação nas disciplinas?","7053","Péssimo","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","3","1484","1.3- Como foi sua aprendizagem nas disciplinas?","6781","Ótimo","100.0","1","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","3","1484","1.3- Como foi sua aprendizagem nas disciplinas?","6782","Bom","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","3","1484","1.3- Como foi sua aprendizagem nas disciplinas?","6783","Regular","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","3","1484","1.3- Como foi sua aprendizagem nas disciplinas?","6784","Ruim","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","3","1484","1.3- Como foi sua aprendizagem nas disciplinas?","7054","Péssimo","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","4","1485","1.4-  Como foi seu interesse em participar de projetos de pesquisa, de extensão e de grupos de pesquisa?","6785","Ótimo","100.0","1","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","4","1485","1.4-  Como foi seu interesse em participar de projetos de pesquisa, de extensão e de grupos de pesquisa?","6786","Bom","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","4","1485","1.4-  Como foi seu interesse em participar de projetos de pesquisa, de extensão e de grupos de pesquisa?","6787","Regular","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","4","1485","1.4-  Como foi seu interesse em participar de projetos de pesquisa, de extensão e de grupos de pesquisa?","6788","Ruim","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","4","1485","1.4-  Como foi seu interesse em participar de projetos de pesquisa, de extensão e de grupos de pesquisa?","7055","Péssimo","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","5","1486"," 1.5- Como foi seu empenho em participar de eventos científicos?","6789","Ótimo","100.0","1","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","5","1486"," 1.5- Como foi seu empenho em participar de eventos científicos?","6790","Bom","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","5","1486"," 1.5- Como foi seu empenho em participar de eventos científicos?","6791","Regular","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","5","1486"," 1.5- Como foi seu empenho em participar de eventos científicos?","6792","Ruim","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","5","1486"," 1.5- Como foi seu empenho em participar de eventos científicos?","7059","Péssimo","0.0","0","1"
"Avaliação pelo Discente Pós-Graduação 2021","2021","15/09/2021","15/10/2021","5023","Biociências e Fisiopatologia","Doutorado","46","Para as repostas, considere o período de 2019 a 2021.","190","I- Autoavaliação","0","0","6","1487","1.6- Como foi seu empenho em publicar artigos científicos (artigo completo ou resumo) para a divulgação dos resultados da sua pesquisa?","6793","Ótimo","100.0","1","1"
