cd_curso,Nome_Do_Curso,Centro_de_Ensino,cd_grupo,nm_grupo,cd_subgrupo,nm_subgrupo,cd_disciplina,nm_disciplina,ordem_pergunta,cd_pergunta,nm_pergunta,ordem_opcoes,opcao,respostas,total_do_curso
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,1.0,1831.0,1.1- Sua frequência nas disciplinas presenciais,8136.0,Bom,6.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,1.0,1831.0,1.1- Sua frequência nas disciplinas presenciais,8137.0,Regular,1.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,1.0,1831.0,1.1- Sua frequência nas disciplinas presenciais,8138.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,1.0,1831.0,1.1- Sua frequência nas disciplinas presenciais,8139.0,Péssimo,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,2.0,1832.0,1.2- Sua frequência nas disciplinas remotas,8140.0,Bom,7.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,2.0,1832.0,1.2- Sua frequência nas disciplinas remotas,8141.0,Regular,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,2.0,1832.0,1.2- Sua frequência nas disciplinas remotas,8142.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,2.0,1832.0,1.2- Sua frequência nas disciplinas remotas,8143.0,Péssimo,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,3.0,1833.0,1.3- Seu empenho e participação nas disciplinas,8144.0,Bom,6.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,3.0,1833.0,1.3- Seu empenho e participação nas disciplinas,8145.0,Regular,1.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,3.0,1833.0,1.3- Seu empenho e participação nas disciplinas,8146.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,3.0,1833.0,1.3- Seu empenho e participação nas disciplinas,8147.0,Péssimo,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,4.0,1834.0,1.4- Sua aprendizagem nas disciplinas,8148.0,Bom,6.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,4.0,1834.0,1.4- Sua aprendizagem nas disciplinas,8149.0,Regular,1.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,4.0,1834.0,1.4- Sua aprendizagem nas disciplinas,8150.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,4.0,1834.0,1.4- Sua aprendizagem nas disciplinas,8151.0,Péssimo,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,5.0,1835.0,"1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.",8152.0,Bom,3.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,5.0,1835.0,"1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.",8153.0,Regular,4.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,5.0,1835.0,"1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.",8154.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,237.0,1. Avaliação discente sobre a autoavaliação,0.0,-,5.0,1835.0,"1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.",8155.0,Péssimo,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,1.0,1837.0,2.1 - Condições de acesso ao material bibliográfico das disciplinas,8156.0,Bom,5.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,1.0,1837.0,2.1 - Condições de acesso ao material bibliográfico das disciplinas,8157.0,Regular,1.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,1.0,1837.0,2.1 - Condições de acesso ao material bibliográfico das disciplinas,8158.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,1.0,1837.0,2.1 - Condições de acesso ao material bibliográfico das disciplinas,8159.0,Péssimo,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,1.0,1837.0,2.1 - Condições de acesso ao material bibliográfico das disciplinas,8160.0,Não se aplica,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,1.0,1837.0,2.1 - Condições de acesso ao material bibliográfico das disciplinas,8161.0,Não sei informar,1.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,2.0,1838.0,2.2 - Condições e atendimento dos laboratórios utilizados pelo curso,8162.0,Bom,5.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,2.0,1838.0,2.2 - Condições e atendimento dos laboratórios utilizados pelo curso,8163.0,Regular,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,2.0,1838.0,2.2 - Condições e atendimento dos laboratórios utilizados pelo curso,8164.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,2.0,1838.0,2.2 - Condições e atendimento dos laboratórios utilizados pelo curso,8165.0,Péssimo,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,2.0,1838.0,2.2 - Condições e atendimento dos laboratórios utilizados pelo curso,8166.0,Não se aplica,1.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,2.0,1838.0,2.2 - Condições e atendimento dos laboratórios utilizados pelo curso,8167.0,Não sei informar,1.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,3.0,1839.0,2.3 - Condições e atendimento da biblioteca,8168.0,Bom,6.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,3.0,1839.0,2.3 - Condições e atendimento da biblioteca,8169.0,Regular,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,3.0,1839.0,2.3 - Condições e atendimento da biblioteca,8170.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,3.0,1839.0,2.3 - Condições e atendimento da biblioteca,8171.0,Péssimo,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,3.0,1839.0,2.3 - Condições e atendimento da biblioteca,8172.0,Não se aplica,1.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,3.0,1839.0,2.3 - Condições e atendimento da biblioteca,8173.0,Não sei informar,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,4.0,1840.0,2.4 - Atendimento na secretaria do curso,8174.0,Bom,6.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,4.0,1840.0,2.4 - Atendimento na secretaria do curso,8175.0,Regular,1.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,4.0,1840.0,2.4 - Atendimento na secretaria do curso,8176.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,4.0,1840.0,2.4 - Atendimento na secretaria do curso,8177.0,Péssimo,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,4.0,1840.0,2.4 - Atendimento na secretaria do curso,8178.0,Não se aplica,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,4.0,1840.0,2.4 - Atendimento na secretaria do curso,8179.0,Não sei informar,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,5.0,1841.0,2.5 - Limpeza e manutenção nas salas e no departamento do seu curso,8180.0,Bom,6.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,5.0,1841.0,2.5 - Limpeza e manutenção nas salas e no departamento do seu curso,8181.0,Regular,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,5.0,1841.0,2.5 - Limpeza e manutenção nas salas e no departamento do seu curso,8182.0,Ruim,0.0,7.0
56,Pedagogia,EAD,68.0,Avaliação discente geral,238.0,2. Avaliação discente sobre a infraestrutura,0.0,-,5.0,1841.0,2.5 - Limpeza e manutenção nas salas e no departamento do seu curso,8183.0,Péssimo,0.0,7.0
