Codigo_Curso;Nome_Do_Curso;Centro_de_Ensino;cd_subgrupo;nm_subgrupo;nu_pergunta;pergunta;ORDEM_OPCOES;OPCAO;Porcentagem;Respostas;Total_do_Curso
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1766;1.1- Sua frequência nas disciplinas presenciais;7786;Bom;37.5;9;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1766;1.1- Sua frequência nas disciplinas presenciais;7787;Regular;8.33333333333333;2;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1766;1.1- Sua frequência nas disciplinas presenciais;7788;Ruim;0.0;0;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1766;1.1- Sua frequência nas disciplinas presenciais;7789;Péssimo;0.0;0;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1766;1.1- Sua frequência nas disciplinas presenciais;7854;Ótimo;54.1666666666667;13;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1767;1.2- Sua frequência nas disciplinas remotas;7790;Ótimo;70.8333333333333;17;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1767;1.2- Sua frequência nas disciplinas remotas;7791;Bom;20.8333333333333;5;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1767;1.2- Sua frequência nas disciplinas remotas;7792;Regular;4.16666666666667;1;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1767;1.2- Sua frequência nas disciplinas remotas;7793;Ruim;4.16666666666667;1;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1767;1.2- Sua frequência nas disciplinas remotas;7866;Péssimo;0.0;0;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1768;1.3- Seu empenho e participação nas disciplinas;7794;Ótimo;25.0;6;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1768;1.3- Seu empenho e participação nas disciplinas;7795;Bom;62.5;15;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1768;1.3- Seu empenho e participação nas disciplinas;7796;Regular;12.5;3;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1768;1.3- Seu empenho e participação nas disciplinas;7797;Ruim;0.0;0;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1768;1.3- Seu empenho e participação nas disciplinas;7867;Péssimo;0.0;0;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1769;1.4- Sua aprendizagem nas disciplinas;7798;Ótimo;8.33333333333333;2;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1769;1.4- Sua aprendizagem nas disciplinas;7799;Bom;70.8333333333333;17;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1769;1.4- Sua aprendizagem nas disciplinas;7800;Regular;20.8333333333333;5;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1769;1.4- Sua aprendizagem nas disciplinas;7801;Ruim;0.0;0;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1769;1.4- Sua aprendizagem nas disciplinas;7868;Péssimo;0.0;0;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1770;1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.;7802;Ótimo;12.5;3;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1770;1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.;7803;Bom;12.5;3;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1770;1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.;7804;Regular;37.5;9;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1770;1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.;7805;Ruim;4.16666666666667;1;24
8;Administração;CSA;225;1. Avaliação discente sobre a autoavaliação;1770;1.5- Seu interesse em participar de projetos de ensino, pesquisa, extensão, monitoria, programas, etc.;7869;Péssimo;33.3333333333333;8;24
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1791;2.1 - Condições de acesso ao material bibliográfico das disciplinas;7912;Ótimo;21.7391304347826;5;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1791;2.1 - Condições de acesso ao material bibliográfico das disciplinas;7913;Bom;43.4782608695652;10;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1791;2.1 - Condições de acesso ao material bibliográfico das disciplinas;7914;Regular;21.7391304347826;5;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1791;2.1 - Condições de acesso ao material bibliográfico das disciplinas;7915;Ruim;8.69565217391304;2;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1791;2.1 - Condições de acesso ao material bibliográfico das disciplinas;7916;Péssimo;0.0;0;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1791;2.1 - Condições de acesso ao material bibliográfico das disciplinas;7917;Não se aplica;0.0;0;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1791;2.1 - Condições de acesso ao material bibliográfico das disciplinas;7924;Não sei informar;4.34782608695652;1;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1795;2.2 - Condições e atendimento dos laboratórios utilizados pelo curso;7918;Ótimo;8.69565217391304;2;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1795;2.2 - Condições e atendimento dos laboratórios utilizados pelo curso;7919;Bom;8.69565217391304;2;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1795;2.2 - Condições e atendimento dos laboratórios utilizados pelo curso;7920;Regular;4.34782608695652;1;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1795;2.2 - Condições e atendimento dos laboratórios utilizados pelo curso;7921;Ruim;0.0;0;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1795;2.2 - Condições e atendimento dos laboratórios utilizados pelo curso;7922;Péssimo;8.69565217391304;2;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1795;2.2 - Condições e atendimento dos laboratórios utilizados pelo curso;7923;Não se aplica;47.8260869565217;11;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1795;2.2 - Condições e atendimento dos laboratórios utilizados pelo curso;7974;Não sei informar;21.7391304347826;5;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1801;2.3 - Condições e atendimento da biblioteca;7975;Ótimo;8.69565217391304;2;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1801;2.3 - Condições e atendimento da biblioteca;7976;Bom;43.4782608695652;10;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1801;2.3 - Condições e atendimento da biblioteca;7977;Regular;17.3913043478261;4;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1801;2.3 - Condições e atendimento da biblioteca;7978;Ruim;8.69565217391304;2;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1801;2.3 - Condições e atendimento da biblioteca;7979;Péssimo;0.0;0;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1801;2.3 - Condições e atendimento da biblioteca;7980;Não se aplica;4.34782608695652;1;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1801;2.3 - Condições e atendimento da biblioteca;7986;Não sei informar;17.3913043478261;4;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1803;2.4 - Atendimento na secretaria do curso;7987;Bom;26.0869565217391;6;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1803;2.4 - Atendimento na secretaria do curso;7988;Regular;26.0869565217391;6;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1803;2.4 - Atendimento na secretaria do curso;7989;Ruim;4.34782608695652;1;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1803;2.4 - Atendimento na secretaria do curso;7990;Péssimo;8.69565217391304;2;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1803;2.4 - Atendimento na secretaria do curso;7991;Não se aplica;0.0;0;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1803;2.4 - Atendimento na secretaria do curso;7992;Não sei informar;8.69565217391304;2;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1803;2.4 - Atendimento na secretaria do curso;7993;Ótimo;26.0869565217391;6;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1805;2.5 - Limpeza e manutenção nas salas e no departamento do seu curso;7994;Ótimo;4.34782608695652;1;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1805;2.5 - Limpeza e manutenção nas salas e no departamento do seu curso;7995;Bom;21.7391304347826;5;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1805;2.5 - Limpeza e manutenção nas salas e no departamento do seu curso;7996;Regular;34.7826086956522;8;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1805;2.5 - Limpeza e manutenção nas salas e no departamento do seu curso;7997;Ruim;26.0869565217391;6;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1805;2.5 - Limpeza e manutenção nas salas e no departamento do seu curso;7998;Péssimo;13.0434782608696;3;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1805;2.5 - Limpeza e manutenção nas salas e no departamento do seu curso;7999;Não se aplica;0.0;0;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1805;2.5 - Limpeza e manutenção nas salas e no departamento do seu curso;8000;Não sei informar;0.0;0;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1812;2.6 - Espaços de convivência e de alimentação próximas ao bloco onde estuda;8001;Ótimo;17.3913043478261;4;23
8;Administração;CSA;233;2. Avaliação discente sobre a infraestrutura;1812;2.6 - Espaços de convivência e de alimentação próximas ao bloco onde estuda;8002;Bom;30.4347826086957;7;23
