Nome_Do_Curso;CD_SUBGRUPO;NM_SUBGRUPO;NU_PERGUNTA;Pergunta;Ordem_Opções;Opção;Porcentagem;Respostas;Total_do_Curso
Estatística;173 ;II. Informações sobre Atividades de Ensino;1 ;"2.01- Se você necessita/necessitou de Atendimento Educacional Especializado, como você avalia o atendimento oferecido pela UEM durante o ERE (Ensino Remoto Emergencial)?";5852 ;Não tive atendim.;"7,1";1 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;1 ;"2.01- Se você necessita/necessitou de Atendimento Educacional Especializado, como você avalia o atendimento oferecido pela UEM durante o ERE (Ensino Remoto Emergencial)?";5854 ;Regular;"7,1";1 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;1 ;"2.01- Se você necessita/necessitou de Atendimento Educacional Especializado, como você avalia o atendimento oferecido pela UEM durante o ERE (Ensino Remoto Emergencial)?";5855 ;Não necessito;"78,6";11 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;2 ;2.02- Como você avalia a plataforma Classrom para o desenvolvimento das disciplinas?;5856 ;Bom;"35,7";5 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;2 ;2.02- Como você avalia a plataforma Classrom para o desenvolvimento das disciplinas?;5858 ;Regular;"14,3";2 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;2 ;2.02- Como você avalia a plataforma Classrom para o desenvolvimento das disciplinas?;5859 ;Ruim;"7,1";1 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;2 ;2.02- Como você avalia a plataforma Classrom para o desenvolvimento das disciplinas?;5937 ;Ótimo;"42,9";6 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;3 ;"2.03- Para sua aprendizagem, você considera mais adequado atividades:";5774 ;Somente síncronas;"14,3";2 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;3 ;"2.03- Para sua aprendizagem, você considera mais adequado atividades:";5775 ;Somente assíncronas;"21,4";3 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;3 ;"2.03- Para sua aprendizagem, você considera mais adequado atividades:";5861 ;Ambas;50;7 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;3 ;"2.03- Para sua aprendizagem, você considera mais adequado atividades:";5862 ;Não sei avaliar;"14,3";2 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;4 ;"2.04- Neste período de isolamento social, você está precisando acompanhar/cuidar de familiares?";5935 ;Sim;"35,7";5 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;4 ;"2.04- Neste período de isolamento social, você está precisando acompanhar/cuidar de familiares?";5936 ;Não;"64,3";9 ;14 
Estatística;173 ;II. Informações sobre Atividades de Ensino;5 ;2.05- Você solicitou o empréstimo de equipamento(s) de tecnologia(s) e/ou dispositivo de dados de internet disponibilizado pelos editais do Projeto de Inclusão Digital da UEM?;6354 ;Não;100;14 ;14 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;1 ;1.01- Como você avalia as orientações sobre o desenvolvimento da disciplina?;5778 ;Ótimo;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;1 ;1.01- Como você avalia as orientações sobre o desenvolvimento da disciplina?;5779 ;Bom;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;1 ;1.01- Como você avalia as orientações sobre o desenvolvimento da disciplina?;5780 ;Regular;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;1 ;1.01- Como você avalia as orientações sobre o desenvolvimento da disciplina?;5863 ;Péssimo;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;2 ;"1.02- Como você avalia a organização da disciplina no Classroom (clareza, acessibilidade, entendimento)?";5782 ;Ótimo;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;2 ;"1.02- Como você avalia a organização da disciplina no Classroom (clareza, acessibilidade, entendimento)?";5783 ;Bom;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;2 ;"1.02- Como você avalia a organização da disciplina no Classroom (clareza, acessibilidade, entendimento)?";5784 ;Regular;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5788 ;Ótimo;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5789 ;Bom;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5790 ;Regular;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5865 ;Ruim;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5866 ;Péssimo;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;4 ;1.04- Como você avalia a coerência entre o conteúdo e a metodologia utilizada no decorrer da disciplina?;5791 ;Ótimo;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;4 ;1.04- Como você avalia a coerência entre o conteúdo e a metodologia utilizada no decorrer da disciplina?;5792 ;Bom;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;4 ;1.04- Como você avalia a coerência entre o conteúdo e a metodologia utilizada no decorrer da disciplina?;5793 ;Regular;"53,3";8 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;4 ;1.04- Como você avalia a coerência entre o conteúdo e a metodologia utilizada no decorrer da disciplina?;5869 ;Péssimo;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;5 ;1.05- Como você avalia o domínio do professor em relação ao conteúdo da disciplina?;5794 ;Ótimo;"26,7";4 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;5 ;1.05- Como você avalia o domínio do professor em relação ao conteúdo da disciplina?;5795 ;Bom;"53,3";8 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;5 ;1.05- Como você avalia o domínio do professor em relação ao conteúdo da disciplina?;5796 ;Regular;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;6 ;1.06- Como você avalia o domínio do professor em relação às tecnologias para o ERE?;5871 ;Ótimo;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;6 ;1.06- Como você avalia o domínio do professor em relação às tecnologias para o ERE?;5872 ;Bom;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;6 ;1.06- Como você avalia o domínio do professor em relação às tecnologias para o ERE?;5873 ;Regular;"33,3";5 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;6 ;1.06- Como você avalia o domínio do professor em relação às tecnologias para o ERE?;5874 ;Ruim;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;6 ;1.06- Como você avalia o domínio do professor em relação às tecnologias para o ERE?;5875 ;Péssimo;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;7 ;1.07- Como você avalia a disponibilidade docente para atender às dúvidas apresentadas pelos alunos?;5876 ;Ótimo;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;7 ;1.07- Como você avalia a disponibilidade docente para atender às dúvidas apresentadas pelos alunos?;5877 ;Bom;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;7 ;1.07- Como você avalia a disponibilidade docente para atender às dúvidas apresentadas pelos alunos?;5878 ;Regular;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;7 ;1.07- Como você avalia a disponibilidade docente para atender às dúvidas apresentadas pelos alunos?;5879 ;Ruim;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;7 ;1.07- Como você avalia a disponibilidade docente para atender às dúvidas apresentadas pelos alunos?;5880 ;Péssimo;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;7 ;1.07- Como você avalia a disponibilidade docente para atender às dúvidas apresentadas pelos alunos?;5917 ;NSI;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;8 ;1.08- Como você avalia o cumprimento do programa e do critério de avaliação da disciplina?;5881 ;Ótimo;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;8 ;1.08- Como você avalia o cumprimento do programa e do critério de avaliação da disciplina?;5882 ;Bom;"26,7";4 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;8 ;1.08- Como você avalia o cumprimento do programa e do critério de avaliação da disciplina?;5883 ;Regular;"33,3";5 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;8 ;1.08- Como você avalia o cumprimento do programa e do critério de avaliação da disciplina?;5884 ;Ruim;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;8 ;1.08- Como você avalia o cumprimento do programa e do critério de avaliação da disciplina?;5885 ;Péssimo;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;9 ;1.09- Como você avalia a adequação dos recursos didáticos utilizados em aula para o desenvolvimento dos conteúdos da disciplina ministrada de forma remota?;5886 ;Ótimo;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;9 ;1.09- Como você avalia a adequação dos recursos didáticos utilizados em aula para o desenvolvimento dos conteúdos da disciplina ministrada de forma remota?;5887 ;Bom;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;9 ;1.09- Como você avalia a adequação dos recursos didáticos utilizados em aula para o desenvolvimento dos conteúdos da disciplina ministrada de forma remota?;5888 ;Regular;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;9 ;1.09- Como você avalia a adequação dos recursos didáticos utilizados em aula para o desenvolvimento dos conteúdos da disciplina ministrada de forma remota?;5889 ;Ruim;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;9 ;1.09- Como você avalia a adequação dos recursos didáticos utilizados em aula para o desenvolvimento dos conteúdos da disciplina ministrada de forma remota?;5890 ;Péssimo;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;10 ;1.10- Como você avalia a carga horária destinada à disciplina?;5891 ;Excessiva;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;10 ;1.10- Como você avalia a carga horária destinada à disciplina?;5892 ;Suficiente;"46,7";7 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;10 ;1.10- Como você avalia a carga horária destinada à disciplina?;5893 ;"Condizente, em parte";"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;10 ;1.10- Como você avalia a carga horária destinada à disciplina?;5894 ;Insuficiente;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;10 ;1.10- Como você avalia a carga horária destinada à disciplina?;5920 ;NSI;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;11 ;1.11- Os canais usados pelo professor para compartilhar informações gerais foram eficientes?;5965 ;Sim;"73,3";11 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;11 ;1.11- Os canais usados pelo professor para compartilhar informações gerais foram eficientes?;5966 ;Não;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;11 ;1.11- Os canais usados pelo professor para compartilhar informações gerais foram eficientes?;5967 ;NSI;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;12 ;"1.12- Nas aulas síncronas, houve discussão ou questionamento feito pelos alunos?";5898 ;"Sim, pouco frequente";"66,7";10 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;12 ;"1.12- Nas aulas síncronas, houve discussão ou questionamento feito pelos alunos?";5899 ;Não houve;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;12 ;"1.12- Nas aulas síncronas, houve discussão ou questionamento feito pelos alunos?";5943 ;"Sim, frequentemente";"26,7";4 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;13 ;"1.13-Nas aulas síncronas, o horário das aulas foi cumprido?";5953 ;"Sim, foi cumprido";"66,7";10 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;13 ;"1.13-Nas aulas síncronas, o horário das aulas foi cumprido?";5954 ;"Não, foi extrapolado";"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;13 ;"1.13-Nas aulas síncronas, o horário das aulas foi cumprido?";5961 ;"Não, foi inferior ";20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;14 ;"1.14- Nas aulas síncronas, o professor convidou outros docentes para ministrar algum conteúdo/palestra?";5955 ;"Sim, de 1 a 3";"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;14 ;"1.14- Nas aulas síncronas, o professor convidou outros docentes para ministrar algum conteúdo/palestra?";5964 ;Não;"86,7";13 ;15 
