Codigo_Curso,Codigo_MEC,Nivel,Centro_de_Ensino,Nome_Do_Curso,Matriculados,Ano_Referencia
8,3393,Graduação,CSA,Administração,736,2020
8,3393,Graduação,CSA,Administração,723,2021
8,3393,Graduação,CSA,Administração,692,2022
8,3393,Graduação,CSA,Administração,671,2023
77,,Graduação,EAD,Administração Pública,256,2020
77,,Graduação,EAD,Administração Pública,314,2021
77,,Graduação,EAD,Administração Pública,147,2022
77,,Graduação,EAD,Administração Pública,75,2023
19,3413,Graduação,CCA,Agronomia,453,2020
19,3413,Graduação,CCA,Agronomia,438,2021
19,3413,Graduação,CCA,Agronomia,436,2022
19,3413,Graduação,CCA,Agronomia,453,2023
46,58188,Graduação,CCA,Agronomia (CAU),198,2020
46,58188,Graduação,CCA,Agronomia (CAU),182,2021
46,58188,Graduação,CCA,Agronomia (CAU),179,2022
46,58188,Graduação,CCA,Agronomia (CAU),177,2023
38,21627,Graduação,CTC,Arquitetura e Urbanismo,212,2020
38,21627,Graduação,CTC,Arquitetura e Urbanismo,214,2021
38,21627,Graduação,CTC,Arquitetura e Urbanismo,215,2022
38,21627,Graduação,CTC,Arquitetura e Urbanismo,218,2023
72,5000538,Graduação,CCH,Artes Cênicas,154,2020
72,5000538,Graduação,CCH,Artes Cênicas,141,2021
72,5000538,Graduação,CCH,Artes Cênicas,133,2022
72,5000538,Graduação,CCH,Artes Cênicas,130,2023
73,5000539,Graduação,CCH,Artes Visuais,161,2020
73,5000539,Graduação,CCH,Artes Visuais,159,2021
73,5000539,Graduação,CCH,Artes Visuais,154,2022
73,5000539,Graduação,CCH,Artes Visuais,158,2023
62,5000540,Graduação,CCS,Biomedicina,163,2020
62,5000540,Graduação,CCS,Biomedicina,161,2021
62,5000540,Graduação,CCS,Biomedicina,158,2022
62,5000540,Graduação,CCS,Biomedicina,160,2023
68,1148343,Graduação,CCB,Bioquímica,125,2020
68,1148343,Graduação,CCB,Bioquímica,134,2021
68,1148343,Graduação,CCB,Bioquímica,133,2022
68,1148343,Graduação,CCB,Bioquímica,127,2023
93,5000545,Graduação,CCB,Biotecnologia,125,2020
93,5000545,Graduação,CCB,Biotecnologia,110,2021
93,5000545,Graduação,CCB,Biotecnologia,110,2022
93,5000545,Graduação,CCB,Biotecnologia,105,2023
26,3419,Graduação,CTC,Ciência da Computação,219,2020
26,3419,Graduação,CTC,Ciência da Computação,220,2021
26,3419,Graduação,CTC,Ciência da Computação,216,2022
26,3419,Graduação,CTC,Ciência da Computação,208,2023
14,303408,Graduação,CCB,Ciências Biologicas,389,2020
14,303408,Graduação,CCB,Ciências Biologicas,378,2021
14,303408,Graduação,CCB,Ciências Biologicas,356,2022
14,303408,Graduação,CCB,Ciências Biologicas,352,2023
58,,Graduação,EAD,Ciências Biológicas,144,2020
58,,Graduação,EAD,Ciências Biológicas,209,2021
58,,Graduação,EAD,Ciências Biológicas,91,2022
