Curso,Formados,Matriculados
ADMINISTRACAO,74,736
AGRONOMIA,74,453
Agronomia (CAU),36,198
ALUNO NAO REGULAR,0,3
ARQUITETURA E URBANIS,37,212
ARTES CENICAS,42,154
ARTES VISUAIS,17,161
BIOMEDICI,25,163
BIOQUIMIC,14,125
BIOTECNOLOGIA,27,125
CIENCIA DA COMPUTACAO,17,219
CIENCIAS BIOLOGIC,50,389
CIENCIAS CONTABEI,62,567
CIENCIAS ECONOMIC,40,538
CIENCIAS SOCIAIS ,20,175
Ciências Contábeis (CRC),24,171
COMUNICACAO E MULTIMEIOS ,41,180
Design (CRC),9,120
DIREI,149,830
EDUCACAO FISI,75,531
Educação Física (CRV),11,70
ENFERMAGE,38,187
Engenharia Agrícola (CAR),7,71
Engenharia Ambiental (CAU),18,102
ENGENHARIA CIVIL ,63,450
Engenharia Civil (CAU),25,189
ENGENHARIA DE ALIMENT,23,175
Engenharia de Alimentos (CAU),11,91
ENGENHARIA DE PRODUCA,60,612
Engenharia de Produção (CRG),14,136
ENGENHARIA ELETRI,26,224
ENGENHARIA MECANI,18,195
ENGENHARIA QUIMIC,70,473
Engenharia Têxtil (CRG),2,55
ESTATISTI,3,126
FARMACIA ,27,310
FILOSOFIA,8,122
FISIC,19,251
Física (CRG),6,26
GEOGRAFIA,36,324
HISTORIA ,38,265
História (CRV),9,40
INFORMATI,5,206
LETRA,77,575
Licenciatura em Ciências Naturais (CRG),0,3
Licenciatura Plena em Ciências (CRG),6,13
MATEMATIC,26,324
MEDICINA ,40,247
Medicina Veterinária (CAU),30,196
MOBILIDADE ESTUDANTIL,0,3
Moda (CRC),18,120
MUSIC,9,117
ODONTOLOG,33,199
PEDAGOGIA,71,467
Pedagogia (CRC),25,152
PEDAGOGIA - PARFO,0,54
PSICOLOGI,66,375
QUIMI,38,314
SECRETARIADO EXECUT. TRILINGU,23,136
Serviço Social (CRV),8,47
Tecnologia em Alimentos (CAU),14,65
Tecnologia em Construção Civil (CAU),12,104
Tecnologia em Meio Ambiente (CAU),4,28
UNATI - UNIV. ABERTA A TERC. IDAD,0,290
ZOOTECNIA,29,349
