Nome_Do_Curso,Matriculados
ADMINISTRAÇÃO,723
ADMINISTRAÇÃO PÚBLICA (EAD),291
AGRONOMIA,438
AGRONOMIA (CAU),182
ARQUITETURA E URBANISMO,214
ARTES CÊNICAS,141
ARTES VISUAIS,159
BIOMEDICINA,161
BIOQUÍMICA,134
BIOTECNOLOGIA,110
CIÊNCIA DA COMPUTAÇÃO,220
CIÊNCIAS,6
CIÊNCIAS BIOLÓGICAS,378
CIÊNCIAS BIOLÓGICAS (EAD),155
CIÊNCIAS CONTÁBEIS,551
CIÊNCIAS CONTÁBEIS (CRC),168
CIÊNCIAS ECONÔMICAS,520
CIÊNCIAS SOCIAIS,170
COMUNICAÇÃO E MULTIMEIOS,165
DESIGN,134
DIREITO,816
EDUCAÇÃO FÍSICA,487
EDUCAÇÃO FÍSICA (CRV),50
ENFERMAGEM,174
ENGENHARIA MECÂNICA,201
ENGENHARIA AGRÍCOLA (CAR),60
ENGENHARIA AMBIENTAL (CAU),67
ENGENHARIA CIVIL,448
ENGENHARIA CIVIL (CAU),182
ENGENHARIA DE ALIMENTOS,154
ENGENHARIA DE ALIMENTOS (CAU),80
ENGENHARIA DE PRODUÇÃO,586
ENGENHARIA DE PRODUÇÃO (CRG),108
ENGENHARIA ELÉTRICA,211
ENGENHARIA QUÍMICA,464
ENGENHARIA TÊXTIL (CRG),45
ESTATÍSTICA,130
FARMÁCIA,322
FILOSOFIA,130
FÍSICA,235
FÍSICA (EAD),45
FÍSICA (CRG),45
GEOGRAFIA,301
HISTÓRIA,278
HISTÓRIA (EAD),38
HISTÓRIA (CRV),21
INFORMÁTICA,218
LETRAS,564
LETRAS (EAD),231
LIC.EM CIÊNCIAS NATURAIS (CRG),2
MATEMÁTICA,287
MEDICINA,248
MEDICINA VETERINÁRIA,202
MODA,115
MÚSICA,107
ODONTOLOGIA,205
PEDAGOGIA,450
PEDAGOGIA (CRC),152
PEDAGOGIA (EAD),586
PEDAGOGIA (PARFOR),47
PSICOLOGIA,402
QUÍMICA,277
SECRETARIADO EXECUTIVO TRILÍNGUE,141
SERVIÇO SOCIAL (CRV),43
TECNOLOGIA EM ALIMENTOS (CAU),46
TECNOLOGIA EM CONSTRUÇÃO CIVIL (CAU),65
TECNOLOGIA EM MEIO AMBIENTE (CAU),25
ZOOTECNIA,327
